number,igsn,traintext,iSampleMaterial
1938,IECCZ0012,IECCZ | R7H116-DAS-02 | Core Section | collection: Hand Auger. Augered from the bottom of a soil pit 2.5 m deep | 100 | cm | Soil>Igneous>Plutonic>Intermediate | Hand Augered core 2.25 in. dia.  | Size is the total depth included in each core section (300-400 cm from land surface) | depth 0.9-1.9 meters composite depth (MCD) | Drainage Basin Upper slope of interfluve_ hardwood reference forest | Reference Area 7 - Hardwood Reference Site 2 | Residual Soil in a hardwood forest | Soil | Calhoun CZO,mat:soil
1939,IECCZ0013,IECCZ | R7H116-DAS-03 | Core Section | collection: Hand Auger. Augered from the bottom of a soil pit 2.5 m deep | 100 | cm | Soil>Igneous>Plutonic>Intermediate | Hand Augered core 2.25 in. dia.  | Size is the total depth included in each core section (400-500 cm from land surface) | depth 1.9-2.9 meters composite depth (MCD) | Drainage Basin Upper slope of interfluve_ hardwood reference forest | Reference Area 7 - Hardwood Reference Site 3 | Residual Soil in a hardwood forest | Soil | Calhoun CZO,mat:soil
1966,IECCZ000X,IECCZ | R2H116-DAS-03 | Soil>Igneous>Plutonic>Intermediate | Soil | Core Section | collection: Hand Auger. Augered from the bottom of a soil pit 2.5 m deep | 100 | cm | Hand Augered core 2.25 in. dia.  | Size is the total depth included in each core section (400-500 cm from land surface) | depth 1.5-2.5 meters composite depth (MCD) | Drainage Basin Upper slope of interfluve_ hardwood reference forest | Reference Area 2 - Hardwood Reference Site | Residual Soil in a hardwood forest | Calhoun CZO,mat:soil
2101,IECJCI383,IECJC | JEMEZ_G1568-MC_Pit2-73cm | | collection: Wick. Custom made_ fiberglass wick-based passive capillary wick samplers (PCaps_ Perdrial et al. 2012) | 6580 | mL | Soil solution | Sampled by: Mark | Notes: Incomplete evacuation; this sample is misslabeled as NMG 1565; should be 1568 | Splits: 3 centrifuge tubes; O/H backup; pH | Resurgent dome | Valles Caldera | La Jara Creek Catchment | 2013 Burned ZOB (formerly as Mixed Conifer) Pedon 2 | Catalina-Jemez Critical Zone Observatory (CZO),mat:liquidwater
2256,DSR000B37,"DSR | VM0015094P | Core | 122 | V1510 | platform: Ship, Vema",mat:rockorsediment
2389,IEWFS000H,IEWFS | 144 | Core Section | collection: Manual>Hammer. Soil cores were collected using soil bulk density corer attached to a slide hammer | Soil cores that were collected seasonally during autumn_ winter_ snowmelt_ and spring at a high altitude field site which is predominately montane meadow | Mountain | East River Watershed_ Colorado The East River is a snow?dominated_ headwater basin of the Upper Colorado River Basin located in the western United States. | Watershed Function SFA,mat:soil
2429,NHB003YT2,NHB | NMNH 53643-72 (PET) | Rock>Igneous | Porphyry | | Coordinates given here are for the original USGS description of the Little Belt Mountains Quadrangle: 'The square degree forming the Little Belt Mountains quadrangle is limited by 110Â° and 111Â° of longitude and 46Â° and 47Â° of latitude.'The radius is the center-to-corner distance of the bounding box. Information about this quadrangle is not available through the current USGS map services. | Locality Key: Little Belt Mts Quad,mat:rock
2470,KHR000320,KHR | S105-rock-02 | Grab | collection: Grab>ROV. ROV manipulator | 29x13x10 | cm | Rock>Igneous>Volcanic>Felsic | Pillow-like structure with buffalo-hair outer striated rind - very glassy underneath (shiny); obsidian-like. Long angular piece of black glass with a small bit of gray interior.pointy end. From top of small ridge (30-40m high).  | large lava flow | Large lava Flow D | NE Lau Basin | dacite | FK171110 | platform: Ship_ R/V Falkor | launch: SuBastian_ 2 | S105 | research,mat:rock
2515,IEWCD001M,IEWCD | Mass-WD-058-sediment-residue | | collection: Drill core. Lake sediments were drilled through ice in 2009. Core sampled at Laccore. ASE extractions at Umass. | residual freeze dried sediment after ASE organic extraction; mixed with diatomaceous earth; GLAD11-GYG09-1C-38A-1-A; 32.5-33.5cm | depth 175.105-175.105 MCD | agenumeric: 3256-3256 Thousand years (ka) | Arctic Tundra | Chukotka | Mid-Pliocene sediments from Lake El'gygytgyn.  | GLAD11; NSF EAR 06-02471 | Paleoclimate,mat:sediment
2734,IEDAB006D,IEDAB | S99-fluid-16 | | collection: Sampler:Fluid:major. ROV manipulator | S99-fluid-16.Major #3. Sample fluids above small patch of sulfur and filamentous (long hairy) mat. A few animals sparsely scattered about. Nav fix: 15.357548 174.232277 Z=1671. Fired at 0102:50.  Done at 0104:50. From diffuse venting near vertical cliff at 'Cliff Could Have Been a Contender' site. | seamount | Tafu NELSC | Contender Cliff | NE Lau Basin | FK171110 | platform: ROV_ SuBastian | research,mat:liquidwater
2814,KAK000001,KAK | NIK13-CFIII-Katie#1 | | collection: hand sample. Dug from the walls of a core with a shovel | 1 | gallon | Rock>Igneous>Volcanic | 1-gallon bag of tephra layer ASH IV (Black_ 1976)_ probably from Okmok volcano | agenumeric: 2800-2800 years | geologicage: Holocene Ash IV Layer | volcano | Okmok Volcano | Umnak island_ core dug by Simon Engelhart in 2013 field season for tsunami deposit studies | near Nikolski | Mafic tephra | To be washed and picked for melt inclusions,mat:rockorsediment
2860,NHB003YRR,NHB | NMNH 53643-21 (PET) | | Coordinates given here are for the original USGS description of the Little Belt Mountains Quadrangle: 'The square degree forming the Little Belt Mountains quadrangle is limited by 110Â° and 111Â° of longitude and 46Â° and 47Â° of latitude.'The radius is the center-to-corner distance of the bounding box. Information about this quadrangle is not available through the current USGS map services. | Locality Key: Little Belt Mts Quad | Unidentified,mat:material
2910,ARF0001Y5,"ARF | DF80-177 PC _Archive | Core Half Round | 281 | cm | Ross Sea | DF80 | platform: Ship, USCGC Glacier",mat:rockorsediment
2991,ARF000288,ARF | DF86-045 TC | Core | 0 | cm | Antarctic Peninsula,mat:rockorsediment
3051,IEPJT001H,IEPJT | 56-436*-41R-1W (3-7) | | collection: Coring>DrillCorer. Coring>DrillCorer>R: The RCB is designed to recover core samples from medium to hard formations. | dark brown clay with little red oxidizing spots (~2mm) | In initial reports assigned to unit 3.  Re-assigned to newly defined unit C3 based upon major and trace element comparisons with other western equatorial Pacific cores. | depth 378.53-378.57 MBSF | DSDP Leg 56 | Inorganic and organic geochemistry,mat:rock
3175,IECJCI076,IECJC | JEMEZ_G1260-MC_Pit5-5cm | | collection: Wick. Custom made_ fiberglass wick-based passive capillary wick samplers (PCaps_ Perdrial et al. 2012) | 710 | mL | Soil solution | Sampled by: James | Lab syringe filtered | Notes: evacuated | Splits: 3 centrifuge tubes; OH backup | FM Comments: SP | Resurgent dome | Valles Caldera | La Jara Creek Catchment | 2013 Burned ZOB (formerly as Mixed Conifer) Pedon 5 | Catalina-Jemez Critical Zone Observatory (CZO),mat:liquidwater
3235,IEDUT10EG,IEDUT | JAM71_XRD | Powder | | collection: Manual. Sampled from parent with hand-drill_ sonicated for 1 minute in DI water and ethanol_ and then hand-powdered with ethanol in an agate mortar | 1 | g | Mineral>Coral | geologicage: Quaternary: MIS 5.5 Falmouth Formation | Reef | Limestone Falmouth Formation  | Great Bay | Western end of Great Bay_ on the beach | Acropora palmata | UF Jamaica 2015 Fieldwork | Paleosea-level; X-Ray Diffraction (XRD) analysis,mat:biogenicnonorganicmaterial
3344,IEUHM0063,IEUHM | MW8805 STA36 RD36 | Dredge | Rock>Igneous>Volcanic>Mafic | Dredge eastbound up highly-magnetic-thumb of seamarc-reflective bottom; 100 m relief above guyot top. #1 - 30x30x50 cm grey to brown basalt with tan calcite veins_ Mn coated (1/2 saved). 1 10x10x5 cm sample to hand carry. #2 - approx. 50 lbs brown altered basalt layered with tan calcite veins_ Mn coated | Central Pacific Ocean | Marshall Islands | basalt | MW8805 | Geological studies,mat:rock
3390,DSR000LI2,"DSR | RC0014106P | Core | 1092 | RC1405 | platform: Ship, Robert D. Conrad",mat:rockorsediment
3440,IED11005INF,IED11 | DI-5INF | | Rock>Igneous>Volcanic | NE slope near Soto Crater beach. Continuous deposit_ inverse grading: coarse-grained ash to coarse-grained lapilli 0.5-6cm from black scoria_ grey lava lithics and few coffee-like dense pyroclastic density currents deposits (i.e. Ignimbrites) | volcano | Deception island | Soto Crater | Lapilli-size pyroclastic deposit | Spanish Antarctic Campaign 2010-2011 (RECALDEC projectÂ CTM2009-05919-E/ANT) Â  Â ,mat:rockorsediment
3465,EOI0000HJ,EOI | S102-gas-15-GT6 | | collection: gas tight bottle. yellow | S102-gas-15. Gastight #6 - yellow. Fired at 0201:12. Saw the poof when they depressed the ram. 238degC flow gray-smoker orifice.  Rock Star is: 173.799375 W 14.940536 S. Z=~2361 at the seafloor. ~25m W of previous samples (?). Samples taken at ~7 m up the chimney at 2354 m. Tmax=238C. | seamount | Mata Ono |  Rockstar | NE Lau Basin | FK171110 | platform: ROV_ Subastian | research,mat:gas
3489,IEMBS001B,IEMBS | RRR-47 | | Rock>Sedimentary>MixedCarbAndOrSiliciclastic | dark gray to light grey siltstone | geologicage: Cretaceous Cedar Mountain Formation | Ruby Ranch Road | Approximately 800 m north_ northwest of Ruby Ranch Road on southwest facing outcrop. GPS locality is on flat mesa halfway up section around sample RRR-16. RRR-1 is near the base of the Cedar Mountain Formation and RRR-53 near the top of the Cedar Mountain Formation | siltstone,mat:rock
3578,IESLT004G,IESLT | 5.27.20 OBJ2_ 130_ 0.02 | Liquid | | collection: Suction>60mLSyringe. 60 mL of vacuum created with syringe and stopcock_ attched to hose barb on well tip. First 5-10 mL purged/discarded | 10 | mL | filtered at 0.02um_ anaerobic_ stored in glass | Sample name formatted [month.day.year site_ depth of sample collection (cm)_ filter apperture (um)] | floodplain | Slate River | Slate River | Pore water | SLAC SFA | metal and anion analysis,mat:liquidwater
3584,IESLT0053,IESLT | 6.11.20 OBJ1_ 200_ 0.02 | Liquid | | collection: Suction>60mLSyringe. 60 mL of vacuum created with syringe and stopcock_ attched to hose barb on well tip. First 5-10 mL purged/discarded | 10 | mL | filtered at 0.02um_ anaerobic_ stored in glass | Sample name formatted [month.day.year site_ depth of sample collection (cm)_ filter apperture (um)] | floodplain | Slate River | Slate River | Pore water | SLAC SFA | metal and anion analysis,mat:liquidwater
3658,IESLT002J,IESLT | 5.14.20 OBJ1_ 90_ 0.02 | Liquid | | collection: Suction>60mLSyringe. 60 mL of vacuum created with syringe and stopcock_ attched to hose barb on well tip. First 5-10 mL purged/discarded | 10 | mL | filtered at 0.02um_ anaerobic_ stored in glass | Sample name formatted [month.day.year site_ depth of sample collection (cm)_ filter apperture (um)] | floodplain | Slate River | Slate River | Pore water | SLAC SFA | metal and anion analysis,mat:liquidwater
3674,IESLT005I,IESLT | 6.11.20 OBJ2_ 90_ 0.02 | Liquid | | collection: Suction>60mLSyringe. 60 mL of vacuum created with syringe and stopcock_ attched to hose barb on well tip. First 5-10 mL purged/discarded | 10 | mL | filtered at 0.02um_ anaerobic_ stored in glass | Sample name formatted [month.day.year site_ depth of sample collection (cm)_ filter apperture (um)] | floodplain | Slate River | Slate River | Pore water | SLAC SFA | metal and anion analysis,mat:liquidwater
3675,IESLT005P,IESLT | 6.11.20 T1.1.3_ 85_ 0.6 | Liquid | | collection: Suction>60mLSyringe. 60 mL of vacuum created with syringe and stopcock_ attched to hose barb on well tip. First 5-10 mL purged/discarded | 10 | mL | filtered at 0.6um_ anaerobic_ stored in glass | Sample name formatted [month.day.year site_ depth of sample collection (cm)_ filter apperture (um)] | floodplain | Slate River | Slate River | Pore water | SLAC SFA | metal and anion analysis,mat:liquidwater
3685,EXT0000AK,EXT | S17-E809D01 | Individual Sample,mat:material
3686,EXT0000AT,EXT | S17-E809H01 | Individual Sample,mat:material
3700,IESLT00DV,IESLT | 9.11.20 OBJ1_ 50_ 0.02 | Liquid | | collection: Suction>60mLSyringe. 60 mL of vacuum created with syringe and stopcock_ attched to hose barb on well tip. First 5-10 mL purged/discarded | 10 | mL | filtered at 0.02um_ anaerobic_ stored in glass | Sample name formatted [month.day.year site_ depth of sample collection (cm)_ filter apperture (um)] | floodplain | Slate River | Slate River | Pore water | SLAC SFA | metal and anion analysis,mat:liquidwater
3704,IESLT00EG,IESLT | 9.11.20 OBJ2_ 70_ 0.02 | Liquid | | collection: Suction>60mLSyringe. 60 mL of vacuum created with syringe and stopcock_ attched to hose barb on well tip. First 5-10 mL purged/discarded | 10 | mL | filtered at 0.02um_ anaerobic_ stored in glass | Sample name formatted [month.day.year site_ depth of sample collection (cm)_ filter apperture (um)] | floodplain | Slate River | Slate River | Pore water | SLAC SFA | metal and anion analysis,mat:liquidwater
3708,MGD0007HV,MGD | J417-HFS-08 | | collection: Sampler:Fluid:HotFluid. depth=-1278 m | GFF filter#20. Sample of diffuse flow from a deep pit found among a large sediment field. POC sample for Cowen. Start 08:24:59.stop 09:02:45. pH ~5.1. Tmax=22.7 Tavg=20.8 Vol=5000ml.   Altitude: 0.74 Heading: 101.81 VirtualVan Event#: 4544 | geologicage: Not Applicable | Vent | Lau:WestMata:Luo | TN234 | platform: Ship_ Thomas G. Thompson | launch: Jason II_ 2 | J2-417,mat:liquidwater
3822,IESLT0043,IESLT | 5.27.20 OBJ2_ 50_ 0.6 | Liquid | | collection: Suction>60mLSyringe. 60 mL of vacuum created with syringe and stopcock_ attched to hose barb on well tip. First 5-10 mL purged/discarded | 10 | mL | filtered at 0.6um_ anaerobic_ stored in glass | Sample name formatted [month.day.year site_ depth of sample collection (cm)_ filter apperture (um)] | floodplain | Slate River | Slate River | Pore water | SLAC SFA | metal and anion analysis,mat:liquidwater
3832,IESLT006R,IESLT | 7.1.20 OBJ1_ 130_ 0.6 | Liquid | | collection: Suction>60mLSyringe. 60 mL of vacuum created with syringe and stopcock_ attched to hose barb on well tip. First 5-10 mL purged/discarded | 10 | mL | filtered at 0.6um_ anaerobic_ stored in glass | Sample name formatted [month.day.year site_ depth of sample collection (cm)_ filter apperture (um)] | floodplain | Slate River | Slate River | Pore water | SLAC SFA | metal and anion analysis,mat:liquidwater
3932,GEG0000Q0,GEG | Gro-08 | Grab,mat:material
3954,IECJCI050,IECJC | JEMEZ_G1228-MC_Pit3-79cm | Liquid | | collection: Wick. Custom made_ fiberglass wick-based passive capillary wick samplers (PCaps_ Perdrial et al. 2012) | 9 | mL | Soil solution | Analysis Notes: sample used up completely - no backups exist; Sampling Notes: evacuated;  | Resurgent dome | Valles Caldera | La Jara Creek Catchment | 2013 Burned ZOB (formerly as Mixed Conifer) Pedon 3 | Catalina-Jemez Critical Zone Observatory (CZO),mat:liquidwater
